Qty,Value,Device,Package,Parts,Mouser Link,
4,,"2,54/1,1","2,54/1,1","I+, I-, U+, U-",DNP,
1,,PINHD-1X2,1X02,JP1,available,
1,,PINHD-1X3,1X03,UART,available,
1,,PINHD-2X12,2X12,JP2,available,
1,,TC2030-MCP,TC2030-MCP,J1,DNP,
2,10,R-EU_R0603,R0603,"R3, R18",available,
1,100,R-EU_R0603,R0603,R17,available,
1,100k,R-EU_R0603,R0603,R4,available,
14,100n,C-EUC0603K,C0603K,"C11, C18, C21, C22, C23, C24, C25, C27, C28, C34, C38, C39, C51, C52",available,
7,10k,R-EU_R0603,R0603,"R7, R8, R10, R11, R14, R16, R29",available,
2,10p,C-EUC0603K,C0603K,"C13, C16",CC0603JRNPO9BN100,
5,10u,C-EUC1206K,C1206K,"C42, C43, C44, C49, C50",TMK316BJ106ML-T,
5,10u/16V,C-EUC1206K,C1206K,"C3, C4, C17, C32, C33",TMK316BJ106ML-T,
5,10u/25V,C-EUC1206K,C1206K,"C7, C8, C19, C20, C26",TMK316BJ106ML-T,
2,12p,C-EUC0603K,C0603K,"C14, C15",available,
4,1M,R-EU_R0603,R0603,"R1, R2, R12, R13",available,
1,1k 0.01% 2ppm,R-EU_M0805,M0805,R9,RG2012L-102-L-T05,
1,1k5,R-EU_R0603,R0603,R5,available,
2,1u,C-EUC0603K,C0603K,"C12, C29",available,
2,22,R-EU_R0603,R0603,"R21, R22",available,
2,27,R-EU_R1206,R1206,"R6, R30",available,
1,39k,R-EU_R0603,R0603,R15,available,
1,4148,DIODE-SOD123,SOD123,D5,MMSD4148T3G,
4,470n,C-EUC0603K,C0603K,"C1, C6, C9, C10",CC0603ZRY5V7BB474,
1,470p/3kV,C-EUC1812,C1812,C2,885352211001,
1,4u7,C-EUC0603K,C0603K,C5,EMK107ABJ475MA-T,
1,AD5941,AD5941,QFN50P700X700X80-49T510N,IC1,AD5941BCPZ-RL7,
4,BAS116,DIODE-SOD123,SOD123,"D1, D2, D3, D4",BAS116GWJ,
1,BSS123,BSS123,SOT23,Q2,available,
1,CEM-1203(42),F/QMBIII,F/QMBIII,SG1,CEM-1201(42),
2,FA-128,FA-128,FA-128,"Q1, Q3",FA-128 32.0000MF10Z-AJ5,FA-128 16.0000MF10Z-AC0
3,Ferrite,INDUCTOR0603,R0603,"L3, L5, L9",available,
1,MINI-USB_SHIELD4P-85-32004-00X,MINI-USB_SHIELD4P-85-32004-00X,85-32004-00X,X1,SS-52300-001,
1,OPA237N,OPA237N,SOT23-5,IC7,OPA237NA/3K,
1,SAINSMART_TFT_3.2V,SAINSMART_TFT_3.2V,SAINSMART_ANGLED,DISPLAY,available,
1,SI8651EB-B-IU,SI8651EB-B-IU,SOP63P600X175-16N,IC3,SI8651EB-B-IU,
3,SRN5020TA-100M,SRN5040,SRN5040,"L1, L2, L4",SRN5020TA-150M,
1,STM32F303VCT,STM32F303VCT,LQFP100,IC6,STM32F303VET6,
1,TBA-1 0512,TME0505S,TME,V1,TBA 1-0512,
2,VREG-TS1117CW-3V3,VREG-TS1117CW-3V3,SOT223,"IC2, IC9",TS1117BCW33 RPG,
